ID,ChrRacesID,ChrModelID
1,1,1
2,1,2
3,2,3
4,2,4
5,3,5
6,3,6
7,4,7
8,4,8
9,5,9
10,5,10
11,6,11
12,6,12
13,7,13
14,7,14
15,8,15
16,8,16
17,9,17
18,9,18
19,10,19
20,10,20
21,11,21
22,11,22
23,12,23
24,12,24
25,13,25
26,13,26
27,14,27
28,14,28
29,15,29
30,15,30
31,16,31
32,16,32
33,17,33
34,17,34
35,18,35
36,18,36
37,19,37
38,19,38
39,20,39
40,20,40
41,21,41
42,21,42
43,22,43
44,22,44
45,23,45
46,23,46
47,24,47
48,24,48
49,25,47
50,25,48
51,26,47
52,26,48
53,27,53
54,27,54
55,28,55
56,28,56
57,29,57
58,29,58
59,30,59
60,30,60
61,31,61
62,31,62
63,32,63
64,32,64
65,33,65
66,33,66
67,34,67
68,34,68
69,35,69
70,35,70
71,36,71
72,36,72
73,37,73
74,37,74
